ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
273614615,2,58,0.5,225000,0.64,0,3.9,0,1.0,1,1,0,0,1,1,26,0.28,12
274475342,3,98,1.0,250000,0.64,0,3.2,0,1.0,1,1,1,0,1,0,4,0.5,2
273973191,3,120,0.5,130000,0.64,0,3.0,0,1.0,1,1,0,0,1,0,10,0.56,5
273999490,3,80,0.5,100000,0.64,1,2.64,0,1.0,1,1,0,0,1,0,8,0.41,4
274017037,3,100,0.5,200000,1.0,0,2.64,1,1.0,1,1,0,0,1,0,4,0.41,2
274995950,2,30,0.5,120000,0.64,0,2.64,1,1.0,1,1,0,0,0,0,26,0.28,19
273941734,2,64,0.5,205000,0.64,0,2.64,0,1.0,1,1,0,0,0,0,26,0.28,12
274493570,3,112,1.0,230000,0.64,1,3.2,1,0.6,1,1,0,0,1,0,7,0.28,2
272945376,3,100,0.5,200000,0.64,0,3.2,1,1.0,1,1,0,0,1,0,8,0.28,3
271568490,5,140,0.5,300000,1.0,0,2.64,0,1.0,1,1,0,0,1,0,7,0.28,2
264664760,3,132,0.5,400000,0.64,0,2.64,1,1.0,0,1,0,0,0,0,13,0.5,5
273353104,3,112,1.0,350000,0.4,0,3.15,1,1.0,1,0,1,0,0,0,13,0.69,3
273353103,2,91,1.0,400000,0.4,0,3.15,1,1.0,1,0,1,0,0,0,13,0.69,10
268321690,3,135,1.0,400000,1.0,0,2.64,0,1.0,1,1,1,0,1,1,13,0.69,5
272727784,3,85,0.5,150000,0.64,1,2.64,1,1.0,1,1,0,0,0,0,7,0.28,7
267110043,2,100,0.5,320000,0.4,1,3.0,1,1.0,1,0,1,0,1,1,7,0.69,5
265323319,3,133,1.0,400000,0.4,0,3.15,1,1.0,1,0,1,0,0,0,13,0.69,5
272823500,3,85,1.0,150000,0.64,1,2.64,0,1.0,1,1,0,0,1,0,7,0.41,7
274402813,3,105,1.0,195000,0.64,0,2.64,0,1.0,1,1,0,0,0,0,17,0.69,6
270190788,3,134,1.0,300000,0.64,1,2.64,0,1.0,1,0,1,0,1,0,16,0.5,8
271265359,2,60,0.5,90000,0.64,0,3.2,1,1.0,1,1,0,0,1,0,6,0.28,5
274289253,3,85,0.5,150000,1.0,1,2.64,0,1.0,1,1,0,0,0,0,7,0.28,7
274849686,4,142,1.0,350000,0.64,0,3.2,1,1.0,1,1,0,0,1,0,13,0.28,12
273779074,2,60,0.5,120000,0.4,0,3.6,0,1.0,1,1,0,0,1,0,6,0.41,3
274217247,3,103,0.5,120000,0.4,0,3.8,0,1.0,1,1,0,0,0,0,3,0.41,2
274252871,3,105,1.0,240000,0.4,0,3.0,1,1.0,1,1,1,1,1,1,17,0.5,6
269132104,1,60,1.0,250000,0.64,0,3.0,0,1.0,1,1,0,0,1,1,12,0.69,2
